tiempo_s,presion_psi,presion_kPa,desplazamiento_mm
4.93,0.9521693249999998,6.564976397874944,0.2471284753982597
4.94,0.9558472499999998,6.59033479809242,0.2485057586797272
4.95,0.9595113999999999,6.615598223028184,0.2498446894456556
4.96,0.9632030999999999,6.6410515985273735,0.2512357638248399
4.97,0.9668947999999999,6.666504974026563,0.2526284380628249
4.98,0.9705865,6.691958349525754,0.2539933795711444
4.99,0.9742781999999999,6.7174117250249425,0.255389239979673
5.0,0.9779836749999999,6.742960075805845,0.2567680316137956
5.01,0.9817029249999999,6.768603401868462,0.2581885055993562
5.02,0.985422175,6.794246727931078,0.2595812183333283
5.03,0.9891414249999998,6.819890053993694,0.2610049648595002
5.04,0.99287445,6.845628355338025,0.2624116514768411
5.05,0.9966074749999999,6.871366656682354,0.2638199698040508
5.06,1.0003405,6.897104958026685,0.2652593994549019
5.07,1.0040873,6.922938234652728,0.2666817666318838
5.08,1.007847875,6.948866486560484,0.2681165613368391
5.09,1.01160845,6.974794738468241,0.2695825646180848
5.1,1.015369025,7.000722990375998,0.271020730497384
5.11,1.0191296,7.026651242283755,0.2724605751153766
5.12,1.02290395,7.0526744694732235,0.2739424987122691
5.13,1.026692075,7.078792671944408,0.2754073743916737
5.14,1.0304802,7.104910874415591,0.2768739719920282
5.15,1.034268325,7.131029076886774,0.2783422930921667
5.16,1.038070225,7.157242254639671,0.2798231889801539
5.17,1.041872125,7.183455432392568,0.281335511496561
5.18,1.045674025,7.2096686101454655,0.2828199198628796
5.19,1.0494897,7.2359767631800755,0.2843169567308355
5.2,1.05331915,7.2623798914963995,0.2858266532144367
5.21,1.0571486,7.2887830198127235,0.2873381416633866
5.22,1.06097805,7.315186148129045,0.2888514237380004
5.23,1.0648075,7.341589276445369,0.290366501099975
5.24,1.068650725,7.368087380043406,0.2918943040924221
5.25,1.072507725,7.3946804589231565,0.2934348642952206
5.26,1.076364725,7.421273537802906,0.2949772647072275
5.27,1.080221725,7.447866616682657,0.2965215070452044
